Name,Image,,Body Text,3P+,Version,Artist,Notes
Eden,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
When you start the game
look at the top 3 cards of
the treasure deck, choose
one, it becomes your starting
item and gains eternal.",FALSE,Alt Art,@rojen241,"Released January 18, 2020.

Included with orders from the Studio71 Isaac store for a time in January, 2020.

Later included with orders from the Nicalis Isaac store for a time starting February 11th, 2020 and with orders of Tapeworm through the Nicalis store for a time starting January 16, 2021.

Foil-only."
Eden,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
When you start the game
look at the top 3 cards of
the treasure deck, choose
one, it becomes your starting
item and gains eternal.",FALSE,Alt Art,@rojen241,"Released November 11, 2020.

Provided to backers of the Tapeworm Kickstarter who subscribed to the game's newsletter prior to the campaign's launch.

Foil-only."
Eden,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
When you start the game, look at
the top 3 cards of the treasure
deck and choose one. It becomes
your starting item and gains
eternal. Put the rest on the
bottom of the treasure deck.
foursouls.com",FALSE,Alt Art,@Sony_Shock,"Released June 3, 2022.

First given to guests of UK Games Expo 2022.

Later given to guests of various other conventions where Maestro Media was in attendance in 2022."
Eden,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
When you start the game, look at
the top 3 cards of the treasure
deck and choose one. It becomes
your starting item and gains
eternal. Put the rest on the
bottom of the treasure deck.
foursouls.com",FALSE,Alt Art,@Sony_Shock,"Released May 31, 2024.

First given to guests of UK Games Expo 2024.

Later given to guests of various other conventions where Maestro Media was in attendance in 2024."
"Level One
Isaac",,,"HP: 3 | AT: 1

↷: Play an additional
loot card this turn.
Are you sure you
want me to die?
------------------------------
You start the game with
2 additional loot cards.",FALSE,Alt Art,@rojen241,"This ""Alt Art"" of the Level One Isaac card from the Anniversary set (identical in every way but set symbol) was printed and accidentally leaked from a small game store before the card's set was finalized.  After the Anniversary set included the final version of the card, Maestro Media began sending out some copies of this ""Alt Art"" version as a rare promo to dedicated fans."
,Tapeworm,,,,,,
Tapeworm,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Pink Proglottid",FALSE,Original,@rojen241,Foil-only.
,The Unboxing of Isaac,,,,,,
Isaac,,,"
HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
The D6",FALSE,Alt Art,@edmundmcmillen,"Included with The Unboxing of Isaac #13 for May, 2023, which is given as a free bonus to anyone who subscribed to all of the previous Unboxing boxes."
Cain,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
If you control this as the
game starts, you go first.
------------------------------
Starting item:
Sleight of Hand",FALSE,Alt Art,@edmundmcmillen,"Included with The Unboxing of Isaac #13 for May, 2023, which is given as a free bonus to anyone who subscribed to all of the previous Unboxing boxes."
The Lost,,,"HP: 1 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
At the end of your turn,
recharge up to 1 character.
------------------------------
Starting item:
Holy Mantle
(+1 soul)",FALSE,Alt Art,@edmundmcmillen,"Included with The Unboxing of Isaac #13 for May, 2023, which is given as a free bonus to anyone who subscribed to all of the previous Unboxing boxes."
,Retro,,,,,,
Eden,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
When you start the game, look at
the top 3 cards of the treasure
deck, choose one, it becomes your
starting item and gains eternal.
Put the rest on the bottom of
the deck in any order.",FALSE,Alt Art,@MattKap1,Included with The Binding of Isaac: Repentance - Leviathan Edition from Nicalis.
,Requiem,,,,,,
Bethany,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Book of Virtues",FALSE,Original,@rojen241,
Jacob & Esau,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Sibling Rivalry",TRUE,Original,@rojen241,
The Broken,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Spindown Dice",TRUE,Original,@rojen241,
The Dauntless,,,"HP: 1 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Hypercoagulation",FALSE,Original,@rojen241,
The Hoarder,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Bag of Crafting",FALSE,Original,@rojen241,
The Deceiver,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Ceremonial Blade",FALSE,Original,@rojen241,
The Soiled,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
IBS",FALSE,Original,@rojen241,
The Curdled,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Sumptorium",FALSE,Original,@rojen241,
The Savage,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Berserk",FALSE,Original,@rojen241,
The Benighted,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Hemoptysis",FALSE,Original,@rojen241,
"The Enigma

//

amginE ehT",,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Flip

//

HP: 1 | AT: 2

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Do not start the game
with this side face up.",FALSE,Original,@rojen241,
The Capricious,,,"HP: 2 | AT: 1

↷: Choose one-
•Play an additional
loot card this turn.
------------------------------
•Put a shop item into discard.
------------------------------
Starting item:
Glitch",FALSE,Original,@rojen241,
The Baleful,,,"HP: 1 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
While you control 1 or 2 souls,
you have +1 AT. If you control 3+
souls, you have +2 AT instead.
------------------------------
Starting item:
Soulbond",TRUE,Original,@rojen241,
The Harlot,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Gello",FALSE,Original,@rojen241,
The Miser,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Keeper's Bargain",FALSE,Original,@rojen241,
The Empty,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Abyss",FALSE,Original,@rojen241,
The Fettered,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Dead Weight",FALSE,Original,@rojen241,
The Zealot,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Lemegeton",FALSE,Original,@rojen241,
The Deserter,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Anima Sola",FALSE,Original,@rojen241,
Flash Isaac,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Classic Roller",TRUE,Original,@HamBerry_art,"Unlocked via $6,660,000 total backed on the Requiem Kickstarter."
Eden,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
When you start the game, look at
the top 3 cards of the treasure
deck and choose one. It becomes
your starting item and gains
eternal. Put the rest on the
bottom of the treasure deck.",FALSE,Alt Art,@rojen241,
Eden,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
When you start the game, look at
the top 3 cards of the treasure
deck and choose one. It becomes
your starting item and gains
eternal. Put the rest on the
bottom of the treasure deck.",FALSE,Alt Art,@rojen241,
,Warp Zone,,,,,,
Ash,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
""FUUUUUUUUUUUUU
------------------------------
Starting item:
Ball of Tumors",FALSE,Original,@Von_Grimsworth,"Crossover with the video game The End is Nigh.

Unlocked via the Downpour social goals to-do list during the Requiem Kickstarter."
The Silent,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Ring of the Snake",FALSE,Original,@Von_Grimsworth,"Crossover with the video game Slay the Spire.

Unlocked via The Mausoleum social goals to-do list during the Requiem Kickstarter."
The Knight,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Focus",FALSE,Original,@Von_Grimsworth,"Crossover with the video game Hollow Knight.

Unlocked via the Dross social goals to-do list during the Requiem Kickstarter."
Pink Knight,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Lollypop",FALSE,Original,Private,"Crossover with the video game Castle Crashers.

Unlocked via the Ashpit social goals to-do list during the Requiem Kickstarter."
Psycho Goreman,,,"HP: 2 | AT: 2

↷: Play an additional
loot card this turn.
""I do not care
for hunky boys...""
------------------------------
Starting item:
Hunky Boys",FALSE,Original,@Von_Grimsworth,"Crossover with the film PG: Psycho Goreman.

Unlocked via the Gehenna social goals to-do list during the Requiem Kickstarter."
Bum-bo the Weird,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
""Bum-bo just remember another
thing! There more Bum-bo!""
------------------------------
Starting item:
Strange Marble",FALSE,Original,@TikaratheMew,"Crossover with the video game The Legend of Bum-bo.

Unlocked via The White Light social goals to-do list during the Requiem Kickstarter."
Abe,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
""Follow Me!""
------------------------------
Starting item:
Possession",FALSE,Original,Private,"Crossover with the video game Oddworld: Abe's Oddysee.

Unlocked via The Credits social goals to-do list during the Requiem Kickstarter."
Baba,,,"HP: 2 | AT: 1

↷: Choose another player.
They reveal their hand.
Choose a non-trinket, non-ambush
loot card in their hand. Till end
of turn, you may play a copy of
it without using a loot play.
------------------------------
Starting item:
Is You",FALSE,Original,@HamBerry_art,"Crossover with the video game Baba Is You.

Unlocked via The End social goals to-do list during the Requiem Kickstarter."
Captain Viridian,,,"HP: 2 | AT: 1

↷: Recharge an
eternal item.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Gravity",FALSE,Original,@HamBerry_art,"Crossover with the video game VVVVVV.

Unlocked via The Planetarium social goals to-do list during the Requiem Kickstarter."
Yung Venuz,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
Yung Venuz is cool.
------------------------------
Starting item:
Pop Pop",FALSE,Original,Private,"Crossover with the video game Nuclear Throne.

Unlocked via the Dross social goals to-do list during the Requiem Kickstarter."
Boyfriend,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Girlfriend",FALSE,Original,@HamBerry_art,"Crossover with the video game Friday Night Funkin'.

Unlocked via the Ashpit social goals to-do list during the Requiem Kickstarter."
Blind Johnny,,,"HP: 2 | AT: 1

↷: Choose a player. They
give you a loot card.
""It's a frightening
world to be alone in.""
------------------------------
Starting item:
Johnny's Knives",TRUE,Original,@JhonenV,"Crossover with the comic book Johnny the Homicidal Maniac.

Unlocked via the Gehenna social goals to-do list during the Requiem Kickstarter."
Salad Fingers,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
""I like rusty spoons.
I like to touch them.""
------------------------------
Starting item:
Rusty Spoons",FALSE,Original,@Von_Grimsworth,"Crossover with the web series Salad Fingers.

Unlocked via The Corpse social goals to-do list during the Requiem Kickstarter."
Blue Archer,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
The Last of the Order
------------------------------
Starting item:
Bow and Arrow",FALSE,Original,Private,"Crossover with the video game TowerFall.

Unlocked via the Home social goals to-do list during the Requiem Kickstarter."
Crewmate,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
While voting, you may
vote an additional time.
------------------------------
Starting item:
Emergency Meeting!",TRUE,Original,@rojen241,"Crossover with the video game Among Us.

Unlocked via the Static social goals to-do list during the Requiem Kickstarter."
Johnny,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
""They betrayed me, they didn't keep
their promise, they tricked me,
and I don't care anymore.""
------------------------------
Starting item:
Football",TRUE,Original,@rojen241,"Crossover with the film The Room.

Unlocked via The Credits social goals to-do list during the Requiem Kickstarter."
Edmund,,,"HP: 2 | AT: 1

↷: Play 1 additional
loot card this turn.
""That needs a nerf...""
- Me!
------------------------------
Starting item:
The Real Left Hand",FALSE,Original,@rojen241,Unlocked via The End social goals to-do list during the Requiem Kickstarter.
Quote,,,"HP: 2 | AT: 1

↷: Flip an eternal item
you control if able,
then recharge it.
""You're a soldier from the
surface, are you not?
------------------------------
Starting item:
Polar Star",FALSE,Original,@TikaratheMew,"Crossover with the video game Cave Story.

Unlocked via the Home social goals to-do list during the Requiem Kickstarter."
Guy Spelunky,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Spelunking Pack",FALSE,Original,@rojen241,"Crossover with the video game Spelunky.

Unlocked via The Mines social goals to-do list during the Requiem Kickstarter."
Steven,,,"HP: 2 | AT: 1

↷: You may play up to x
additional loot cards
this turn, where x is the
number of souls you control.
""Get in the box!""
------------------------------
Starting item:
Lil Steven",FALSE,Original,@TikaratheMew,"Crossover with the video game Time Fcuk.

Unlocked via The White Light social goals to-do list during the Requiem Kickstarter."
,Alt Art,,,,,,
Isaac,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
The D6",FALSE,Alt Art,@TomFulp,"Unlocked via 41,000 bakcers for the Requiem Kickstarter."
Judas,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Book of Belial",FALSE,Alt Art,@Vlurr143,"Unlocked via 2,000 backers for the Requiem Kickstarter."
Blue Baby,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Forever Alone",FALSE,Alt Art,@FlorkOfCows,"Unlocked via 6,000 backers for the Requiem Kickstarter."
Azazel,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Lord of the Pit",FALSE,Alt Art,@dolldrums,Unlocked on the third roll against The Beast during the Requiem Kickstarter.
Eden,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
When you start the game, look at
the top 3 cards of the treasure
deck and choose one. It becomes
your starting item and gains
eternal. Put the rest on the
bottom of the treasure deck.",FALSE,Alt Art,Tonetta 777,"Unlocked via 23,000 backers for the Requiem Kickstarter.
"
Eden,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
When you start the game, look at
the top 3 cards of the treasure
deck and choose one. It becomes
your starting item and gains
eternal. Put the rest on the
bottom of the treasure deck.",FALSE,Alt Art,@Sony_Shock,"Unlocked via 31,000 backers for the Requiem Kickstarter."
The Lost,,,"HP: 1 | AT: 1

↷: Play an additional
loot card this turn.
------------------------------
At the end of your turn,
recharge up to 1 character.
------------------------------
Starting item:
Holy Mantle
(+1 soul)",FALSE,Alt Art,@mushbuh,"Unlocked via 17,000 backers for the Requiem Kickstarter."
Lilith,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Incubus",FALSE,Alt Art,Sandra ArteagA,"Unlocked via 21,000 backers for the Requiem Kickstarter."
The Keeper,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Wooden Nickel",FALSE,Alt Art,@sp00ky_d00dles,"Unlocked via 9,000 backers for the Requiem Kickstarter."
The Forgotten,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
The Bone",FALSE,Alt Art,@MaxGrecke,"Unlocked via 45,000 backers for the Requiem Kickstarter."
The Savage,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Berzerk",FALSE,Alt Art,@JohnnyUtahNG,"Unlocked via 3,000 backers for the Requiem Kickstarter."
The Capricious,,,"HP: 2 | AT: 1

↷: Choose one-
•Play an additional
loot card this turn.
------------------------------
•Put a shop item into discard.
------------------------------
Starting item:
Glitch",FALSE,Alt Art,@bispau,Unlocked on the eighth roll against The Beast during the Requiem Kickstarter.
The Harlot,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Gello",FALSE,Alt Art,@thetruehyperion,"Unlocked via 11,000 backers for the Requiem Kickstarter."
Guppy,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Infestation",FALSE,Alt Art,Amy Weber,"Unlocked via 38,000 backers for the Requiem Kickstarter."
,The Legend of Bum-bo,,,,,,
Bum-bo,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
""BUM-BO WANT COIN!""
------------------------------
Starting item:
Bag-o-Trash",FALSE,Alt Art,@TikaratheMew,Included as a bonus in physical editions of The Legend of Bum-bo from Nicalis.
,The Summer of Isaac,,,,,,
Clubby the Seal,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
""Clubby spends most of his time
collecting human skins to sell
on the black market.""
------------------------------
Starting item:
Club",FALSE,Original,@rojen241,"Crossover with the video game Clubby the Seal.

Part of the Edmund Booster Pack in The Summer of Isaac, released in June, 2024."
Gish,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
""Life isn't easy when you're
a 12 pound ball of tar.""
------------------------------
Starting item:
Ball of Tar",FALSE,Original,@rojen241,"Crossover with the video game Gish.

Part of the Edmund Booster Pack in The Summer of Isaac, released in June, 2024."
Stacy,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
""Meow.""
------------------------------
Starting item:
Unstable DNA",FALSE,Original,@rojen241,"Crossover with the video game Mewgenics.

Part of the Edmund Booster Pack in The Summer of Isaac, released in June, 2024."
The Hoarder,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Bag of Crafting",FALSE,Alt Art,@bogmanART,"Part of the Alt Art Booster Pack in The Summer of Isaac, released in July, 2024."
The Miser,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Keeper's Bargain",FALSE,Alt Art,@billiamboy1,"Part of the Alt Art Booster Pack in The Summer of Isaac, released in July, 2024."
,Youtooz,,,,,,
Guppy,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Infestation",FALSE,Alt Art,@therealracckun,"
Included with the Guppy Youtooz figure available for pre-order starting February 2nd, 2024."
,Anniversary,,,,,,
"Level One
Isaac",,,"HP: 3 | AT: 1

↷: Play an additional
loot card this turn.
Are you sure you
want me to die?
------------------------------
You start the game with
2 additional loot cards.",FALSE,Original,@rojen241,
Florian,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
The Binding of Isaac Four Souls:
Eternal Edition!
------------------------------
Starting item:
Game Squid",TRUE,Original,@rojen241,
Bum-bo the Stout,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
""Bum-bo remember there even more
Bum-bo! There a fat Bum-bo!""
------------------------------
Starting item:
Bag-o-Holes",FALSE,Original,@TikaratheMew,
,Nendoroid,,,,,,
Isaac,,,"HP: 2 | AT: 1

↷: Play an additional
loot card this turn.
WARNING: CHOKING HAZARD
Small parts.  Not suitable for
children under 3 years old.
------------------------------
Starting item:
Guppy's Head",FALSE,Alt Ability,Nendoroid figure designed by Good Smile Company,"

Included with the Nendoroid Isaac figure available for pre-order starting November 5th, 2024."
,Mewgenics,,,,,,
Stacy 704891,,,"HP: 1 | AT: 1

↷: Play an additional
loot card this turn.
This can be done on any player's
turn in response to any action.
------------------------------
Starting item:
Stacy's Extra Head",FALSE,Original,@rojen241,Included with The Mewgenics Collectible Cat Carrier bundle to celebrate the release of the Mewgenics video game.
